Nr.	Urne							JUSOS		RCDS		LHG		LUST		PIRATEN	Ungültig	Enthaltung
-	-							#bc0000	#1e1e1e	#ffd200	#bf5488	#ff9900	#cccccc	#c0c0c0
1	Juridicum 1						87		87		58		12		8		1		5			
2	Juridicum 2						194		131		80		27		22		9		19			
3	Mensa Nassestr. 1					31		18		4		13		3		0		3			
4	Mensa Nassestr. 2					153		84		58		63		38		8		4			
5	Hauptgebäude 1					146		33		22		60		20		6		4			
6	Hauptgebäude 2					151		64		34		89		18		10		6			
7	Hauptgebäude 3					62		43		16		16		7		2		4			
8	FAZ-Café<br>Hauptgebäude 4			30		29		5		15		5		1		2			
9	Historisches Seminar<br>Anglistik		57		23		12		13		4		2		2			
10	Math.-Nat. 1					34		56		13		14		8		2		1			
11	Math.-Nat. 2					80		23		22		50		11		5		3			
12	Math.-Nat. 3					46		25		21		11		8		3		0			
13	Math.-Nat. 4					30		12		11		19		7		1		1			
14	Pop-Mensa 1						120		112		53		46		35		7		9			
15	Pop-Mensa 2						39		37		13		11		5		1		4			
16	Mathematik						51		61		15		15		7		5		3			
17	MNL							78		60		45		18		2		3		5			
18	Venusberg Kantine					22		23		6		5		9		2		3			
19	Informatik, Sportanlage Römerstraße		38		18		15		11		44		0		3			
20	ULB							90		46		17		41		14		5		2			
21	Sprachlernzentrum<br>Medienwissenschaften	41		13		7		13		7		3		8			
22	Venusberg						26		25		16		7		1		1		3			
23	Physik<br>Anatomie				41		43		12		9		5		3		1			
24	Sportanlage Venusberg<br>Psychologie	36		10		5		16		11		5		4			
25	Wahlbüro (Briefwahl)				2		2		2		8		2		0		0			